"contactId","warmOppCount","soOppCount","warmOppIds","soOppIds","company"
"H5p8186xjuwp4WOYwLV9","1","1","NVjv9Y1EIctLzVTh3DAx","Qb8SFqqdBHM24eFPDq24","Berkshire Roots - Pittsfield "
"kMq2Mcr7AUfZzuomEJEA","1","1","dv8Ar1X0f9nofZ44pboE","nna4jWsF2DuzenRb9DUY","Good Day Farms"
"wvcFh3G5ny8Xy1au8uf3","1","1","emQTcJHU5V7GjJrlr7lD","vJ6oznFO9kgat87R1uqj","Cannapiece Corp"
"sG3auN8oJLOjUCeqZo6u","1","1","CAoJ5LFmQRlHo5XprsRt","QAL2bGEVTHjDp0jkpeaS","Village Farms International"
"xRhpNHcFfS58ChSe4EjM","1","1","U3C1pX4LOZsYaRQvaKyH","TmDHJ2KzeCju5sgapG5O","Aurora Cannabis Inc."
"GKw4sZusKFtauOs3ipUM","1","1","5MuaoLXh20qU9U6iGpxW","4bdG5uzX8aWit0JAFlkG","Calyx Peak"
"40damy8QSIALbs250l6P","1","1","YvrEWp3TXl1aULnBRdum","bovv86eKJs5J1cCWiiSo",""
"fpOOZA04QdCvAAQoACOW","1","1","HMEYZX16gnAixiaxEPeN","qKCNKMSvk02fAzg6LHVx","ProVerde Laboratories"
"IAr3Ar43Nv5rWJm2OnIa","1","1","0OrQmAf6VKuNVtx6dIsP","wJIUA4V0Z0sI1V8o1z8O","Curaleaf"
"mtwhv3qu7WXz6MiWDv4X","1","1","cGHvjoaBBw45Xc3jCDr2","pzKfUUTttp3ZDrDp6p0i","Heritage Cannabis"
"jjZWHe8NXo6l3Zu5C5P1","1","1","uwttK1RkHzGZcZoQIdtj","1YKXtZXUwgVGjlwPsIvP","District Cannabis"
"YOAs4tZyvJq0yhlYk4cy","1","1","FwLCDcv4TWc4hGecSFcC","ZWusF5I2Grc3EI2zDpvY","The Flower Shop"
"AOq2auxocGl2WCUMzvkS","1","1","3h9TeBHOiHv61cxDZElt","XuD3QE1fO8ioj9eCkeEC","Greentone "
"aMLDvXTmy9hw0vLdjspY","1","1","5we4Xr109wDk7phM7fWa","dvb8kPaxclExMSKCW9iR","Gron"
"Gqntt7PAC0DWFR9T2qlp","1","1","fOUdTieoJk1KB48OgeI3","2SwWJkdPQbDFN3YLkCB9",""
"o5nUsVEBitncvtVBKB3F","1","1","B3jE1GYqimQD2iHV495D","rjEgEKO9fAfG6GURrIR3","Trulieve"
"CA7ltR8Ogl8wEC4NBL7S","1","1","iSMjtZaRDhhejXv3AEQD","6l8d3CwWGgR8CzDgiZfj","Altitude Organic Medicine"
"Otn89vaFuUM4VpWEkLFL","1","1","OPq4xij1U7znwSYkEQVj","GS2ExhVD99TNcyYywPAJ","Cannabist"
"hmgEFwBrqZ1AmyI8m37w","1","1","WpjpOJM3FjUZJ76WENL0","MKNsG7hyQCIaTJ52rL4R","MTL Cannabis"
"CQ5CwLZY6byts8h7NpsJ","1","1","9vhT8guZFvOg94843NdK","MAq2AyQWvMbTDvvgXzzN","Vireo Growth Inc."
"benaNyamPdvVDwwKRszF","1","1","AKCbskN3FvhbvWyQwDSY","bu9wsxrDCpIW1rdfQJlt","ILLICIT"
"HBIZ6MuF9DQQ29RIKKGc","1","1","AqrjgfJSkV91CufOcsd5","59zaIVPRL1DHmCvHtGo5","STIIIZY"
"7WfhwtrqbzgeKeyDXJgB","1","1","NEYdOC98KAOSHwb5MwjP","EJwYV1cxvsiGhU9NHRGG","NSLC - Bayers Lake Park "
"zc2gqG3FV4JQR1RPIq1l","1","1","FbxUvvbDdxBLHsAhbcRJ","DMwvJOQjWEa5x0ixEGis","TerrAscend Corp"
"ZW9KTiuc0FDsMghT84XD","1","1","87Kuh66hLAZR19EIasAj","iqmxivmewAD6YHjepO00","champdigital.com"
"f5greWOdZsAqzlnkOhxX","1","1","tzjlQ1S3UfNN21IKa1kh","NzLbjtPhRrhTgvHkAU13","Windy City Cannabis"
"LAZ8HA8OhgKfWXx5N01h","1","1","kBdnEgoBg2u7k1RybWOC","tpztwTeWLPZqW2kARSdH","ThrivePOP "
"SybrVxZwS6wtQFZ6k3uE","1","1","5leQDgmGb98T32NUyMF3","0ip7EusHvymPOkJkUVI3","Organigram Global"
"iyO8m4yHwM5Tgxl1USiC","1","1","cAFODzXy54DVwypjagYz","1JwbLGsWpqtvsDXhIg5U","Angel Farm LLC"
"xm5Ot8EUV2RAyrekCgZz","1","1","zZVN5jBiAcqLaCpD95tK","hj3zdDfiT3MVmL5NzclZ","Analytics Labs, LLC"
"FsjC2us9xiIuNQ7xdv0t","1","1","t1CatLspo7yPW8Jx22U6","oENd194ns4aAi0OfrFPb","Gold Flora "
"jQqXPa7zCr1SIJKSFWkM","1","1","lYZeIXv2RPpuaqQQII7m","Z2HDSpDIwaxUzwa7uCQ3","Weed Me Inc."
"oZrHdgDWStSapRaA8C0Q","1","1","hbg8WWMGtzRmn1rueyJV","IijcoI6znWLlgdT9PCam","STIIIZY"
"QWLnA0LpQ7VtG1xasp2K","1","1","ZR3R5IKyBoIYVkHUs9x8","KIsEynHBAG8b6DWu8644","Justice Cannabis Company"
"eCmVGe3kKF58DBaBFvsj","1","1","qKz1z3hunu8cUBHI0TrA","8stGCcpsqdXXsYpkNViz","Curaleaf Holdings"
"3E6qFZq7p3qLcBIQ5QMd","1","1","g7j9Py3YPNqVB9K7Lhya","kUPbj1mq8C3G2aDIjCd2","Claybourne Co. "
"vBhp1i2LWNig4NSTWGXc","1","1","IqtmJUwfVYz9O4AfscAU","pRIgGZechwaDXjkfGkiz","Smithers"
"j37PuFsdzikVFCEL8scH","1","1","vw14u0RtujKG4xAhXMOG","Cee9TJCTafXvJd6N8IEz","Nova Farms"
"O1mcOfwqYQUdlJqDIqUZ","1","1","VOzMJAf4mLLyzWU0KzjE","2J3xiTCsPTafdZlVhBUF","Novel Beverage Co."
"ErYWH7luXl3iAOl0AocH","1","1","ZROhQJmGcZLU1hJrsmCU","6QDMBNCxN9vO3lcAgEE8","Aurora Cannabis Enterprises Inc. (2nd site)"
"YiuuZ3YhExIorM1iE4lG","1","1","SiJMWFqcHSTnwQIzy2GV","qFMdqPjlxQIE3fWD0eNx","KCA Labs"
"OK7Rn4MJU7gD24lqH7Ku","1","1","qJHG074EnqZiApRkahxV","euVN7vYPGb0izSKQTTW8","Dragonfly Wellness Pharmacy"
"3ou1HbnZiTXc5LWG1Lix","1","1","GHcNqcHbQ5SyMuq7CTTB","N19tO9SVwbM2wEWbFedl","Firelands Scientific"
